Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule
Ижевск,Менеджер по работе с маркетплейсом Wildberries,Нет опыта,40000.0,Другое,Полный день
Ижевск,Специалист казначейства,От 1 года до 3 лет,,Казначей,Полный день
Ижевск,Юрист по договорной работе,От 1 года до 3 лет,45000.0,Юрист,Полный день
Ижевск,Стажер,Нет опыта,98000.0,Другое,Гибкий график
Ижевск,Чат менеджер,Нет опыта,35000.0,"Оператор ПК, оператор базы данных",Гибкий график
Ижевск,Диспетчер-логист,Нет опыта,160000.0,"Менеджер по логистике, менеджер по ВЭД",Полный день
Ижевск,Менеджер по продажам,Нет опыта,80000.0,Менеджер по работе с партнерами,Полный день
Ижевск,Заместитель главного бухгалтера/главный бухгалтер,От 3 до 6 лет,80000.0,Бухгалтер,Полный день
Ижевск,Бухгалтер на первичную документацию,От 1 года до 3 лет,73000.0,Бухгалтер,Полный день
Глазов,Администратор торговой точки,Нет опыта,90000.0,"Администратор магазина, администратор торгового зала",Полный день
Ижевск,Менеджер маркетплейса на Lamoda,Нет опыта,100000.0,"Менеджер по продажам, менеджер по работе с клиентами",Удаленная работа
Ижевск,Продавец-консультант,Нет опыта,34000.0,"Продавец-консультант, продавец-кассир",Сменный график
Ижевск,Старший администратор службы приёма и размещения гостиницы,Нет опыта,48000.0,Администратор,Полный день
Ижевск,Охранник-сторож,Нет опыта,26500.0,Другое,Сменный график
Ижевск,Няня,От 3 до 6 лет,57500.0,Другое,Полный день
Ижевск,Мастер цеха,От 1 года до 3 лет,,"Начальник смены, мастер участка",Полный день
Ижевск,Инженер в группу экологического мониторинга и пробоотбора,От 1 года до 3 лет,42000.0,"Инженер по охране труда и технике безопасности, инженер-эколог",Полный день
