Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule,Experience,City,Population,Schedule Encoded
Казань,Заместитель генерального директора,От 1 года до 3 лет,325000.0,Операционный директор (COO),Полный день,2,Казань,1143600.0,1
Казань,Чат-менеджер в студию украшений (удаленно),Нет опыта,47500.0,"Менеджер по продажам, менеджер по работе с клиентами",Удаленная работа,0,Казань,1143600.0,4
Казань,Юрист,От 3 до 6 лет,80000.0,Юрист,Полный день,4,Казань,1143600.0,1
Казань,Грузчик-стропальщик,Нет опыта,60000.0,Другое,Полный день,0,Казань,1143600.0,1
Казань,Юрист,Нет опыта,100000.0,Юрист,Полный день,0,Казань,1143600.0,1
Казань,Менеджер по продажам (без поиска),Нет опыта,70000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,0,Казань,1143600.0,1
Казань,Менеджер отдела продаж,От 1 года до 3 лет,100000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,2,Казань,1143600.0,1
Казань,Бортпроводник/бортпроводница,Нет опыта,240000.0,Бортпроводник,Гибкий график,0,Казань,1143600.0,3
Казань,Менеджер по продажам B2B,Нет опыта,85000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,0,Казань,1143600.0,1
Казань,Личный водитель в Индустриальный парк М-7,От 3 до 6 лет,60000.0,Водитель,Полный день,4,Казань,1143600.0,1
Казань,Управляющий салонами,От 1 года до 3 лет,150000.0,"Директор магазина, директор сети магазинов",Полный день,2,Казань,1143600.0,1
Казань,Личный ассистент семьи,От 1 года до 3 лет,75000.0,"Секретарь, помощник руководителя, ассистент",Удаленная работа,2,Казань,1143600.0,4
Набережные Челны,Начинающий IT специалист,Нет опыта,97500.0,Другое,Полный день,0,Набережные Челны,513200.0,1
Казань,Ассистент отдела продаж \ Менеджер по сопровождению продаж,Нет опыта,62500.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,0,Казань,1143600.0,1
Казань,Бухгалтер,От 3 до 6 лет,70000.0,Бухгалтер,Полный день,4,Казань,1143600.0,1
Казань,Начальник ОТК,Более 6 лет,160000.0,Инженер по качеству,Полный день,7,Казань,1143600.0,1
Казань,Геодезист,От 1 года до 3 лет,150000.0,Геодезист,Полный день,2,Казань,1143600.0,1
Казань,Чат-менеджер,Нет опыта,62500.0,"Менеджер по продажам, менеджер по работе с клиентами",Удаленная работа,0,Казань,1143600.0,4
Казань,Водитель автомобиля категории B,Нет опыта,90000.0,Водитель,Полный день,0,Казань,1143600.0,1
Казань,Аппаратчик смешивания,Нет опыта,95000.0,Оператор производственной линии,Полный день,0,Казань,1143600.0,1
Казань,SMM-менеджер магазина клубной атрибутики,От 1 года до 3 лет,25000.0,Другое,Полный день,2,Казань,1143600.0,1
Казань,Помощник по хозяйственным делам на базу,Нет опыта,90000.0,Другое,Полный день,0,Казань,1143600.0,1
Казань,Специалист по работе с номенклатурой,От 1 года до 3 лет,80000.0,"Оператор ПК, оператор базы данных",Полный день,2,Казань,1143600.0,1
Казань,Коммерческий директор,От 3 до 6 лет,150000.0,Коммерческий директор (CCO),Полный день,4,Казань,1143600.0,1
Альметьевск,Финансист,От 1 года до 3 лет,45000.0,Другое,Полный день,2,Альметьевск,146300.0,1
Казань,Кладовщик в отдел по работе с маркетплейсами,От 1 года до 3 лет,45000.0,Кладовщик,Полный день,2,Казань,1143600.0,1
Казань,Офис-менеджер (секретарь),Нет опыта,52500.0,Офис-менеджер,Полный день,0,Казань,1143600.0,1
Казань,Оператор 1C,От 1 года до 3 лет,60000.0,"Оператор ПК, оператор базы данных",Полный день,2,Казань,1143600.0,1
Казань,Руководитель службы безопасности,От 1 года до 3 лет,80000.0,Специалист службы безопасности,Полный день,2,Казань,1143600.0,1
Казань,"Менеджер по работе с клиентами (без продаж, без поиска клиентов)",Нет опыта,55000.0,"Оператор call-центра, специалист контактного центра",Полный день,0,Казань,1143600.0,1
Казань,Администратор филиала,От 1 года до 3 лет,35000.0,Администратор,Полный день,2,Казань,1143600.0,1
Казань,Администратор офиса,От 1 года до 3 лет,70000.0,"Секретарь, помощник руководителя, ассистент",Полный день,2,Казань,1143600.0,1
Набережные Челны,Оператор 1C,От 1 года до 3 лет,60000.0,"Оператор ПК, оператор базы данных",Полный день,2,Набережные Челны,513200.0,1
Набережные Челны,Специалист в бюро кадров,Нет опыта,40000.0,Специалист по кадрам,Полный день,0,Набережные Челны,513200.0,1
Казань,Рабочий на производство,От 1 года до 3 лет,100000.0,Монтажник,Полный день,2,Казань,1143600.0,1
Казань,Няня,От 1 года до 3 лет,240000.0,Другое,Сменный график,2,Казань,1143600.0,2
Казань,Водитель-экспедитор на легковой автомобиль,Нет опыта,84000.0,Водитель,Полный день,0,Казань,1143600.0,1
Казань,Личный помощник собственника компании,Нет опыта,550000.0,Другое,Полный день,0,Казань,1143600.0,1
Казань,Специалист по работе с документацией,Нет опыта,40000.0,"Делопроизводитель, архивариус",Полный день,0,Казань,1143600.0,1
Казань,Психолог - диагност,От 3 до 6 лет,45000.0,Психолог,Полный день,4,Казань,1143600.0,1
Казань,Менеджер по закупкам и логистике,Нет опыта,60000.0,Менеджер по закупкам,Полный день,0,Казань,1143600.0,1
Казань,Менеджер билетной программы,От 1 года до 3 лет,75000.0,Event-менеджер,Полный день,2,Казань,1143600.0,1
Казань,Юрист,Более 6 лет,85000.0,Юрист,Полный день,7,Казань,1143600.0,1
Набережные Челны,Главный инженер,От 1 года до 3 лет,170000.0,Инженер по эксплуатации,Полный день,2,Набережные Челны,513200.0,1
Казань,Ведущий инженер отдела сопровождения строительства,Более 6 лет,205000.0,Руководитель строительного проекта,Полный день,7,Казань,1143600.0,1
Казань,Руководитель отдела продаж В2В,От 1 года до 3 лет,275000.0,Руководитель отдела продаж,Полный день,2,Казань,1143600.0,1
Казань,Личный водитель,От 1 года до 3 лет,52000.0,Водитель,Полный день,2,Казань,1143600.0,1
Казань,"Водитель на служебный автомобиль (Газель, Лада Ларгус)",От 1 года до 3 лет,50000.0,Водитель,Полный день,2,Казань,1143600.0,1
Казань,"Водитель-экспедитор категории "" В """,От 1 года до 3 лет,90000.0,Водитель,Полный день,2,Казань,1143600.0,1
Ижевск,Слесарь механосборочных работ,От 1 года до 3 лет,70000.0,Механик,Полный день,2,Ижевск,628100.0,1
Ижевск,Водитель руководителя (Mitsubishi L200),От 3 до 6 лет,69000.0,Водитель,Полный день,4,Ижевск,628100.0,1
Ижевск,Водитель-курьер,Нет опыта,90000.0,Курьер,Полный день,0,Ижевск,628100.0,1
Ижевск,Формовщик деталей и изделий,От 1 года до 3 лет,70000.0,"Токарь, фрезеровщик, шлифовщик",Полный день,2,Ижевск,628100.0,1
Ижевск,Помощник редактора,Нет опыта,53000.0,"Копирайтер, редактор, корректор",Гибкий график,0,Ижевск,628100.0,3
Ижевск,Специалист службы безопасности,От 1 года до 3 лет,110000.0,Специалист службы безопасности,Вахтовый метод,2,Ижевск,628100.0,5
Ижевск,Менеджер на выписку,Нет опыта,40000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,0,Ижевск,628100.0,1
Ижевск,Рабочий на завод,Нет опыта,140000.0,Разнорабочий,Вахтовый метод,0,Ижевск,628100.0,5
